gene,avg_fpkm,class
Seita.1G126900,19.5919497222,1
Seita.1G127900,8.36926833333,1
Seita.1G130200,14.4888352778,1
Seita.1G131100,2.04085550278,1
Seita.1G133500,23.6465294444,1
Seita.1G134700,8.38081030556,1
Seita.1G138600,3.27071691667,1
Seita.1G141600,7.94128194444,1
Seita.1G141900,8.28321527778,1
Seita.1G144700,4.0695025,1
Seita.1G148000,13.9759725,1
Seita.1G149000,1.46195361111,1
Seita.1G149100,1.11580666667,1
Seita.1G153500,1.00739930556,1
Seita.1G154200,3.23919761111,1
Seita.1G154500,5.45393444444,1
Seita.1G155100,27.8008486111,1
Seita.1G156700,11.9796355556,1
Seita.1G158600,160.586611111,1
Seita.1G162400,1.63943394444,1
Seita.1G167400,115.137177778,1
Seita.1G168000,56.3570361111,1
Seita.1G168300,2.73305458333,1
Seita.1G169400,2.04795308333,1
Seita.1G171900,20.4493066667,1
Seita.1G172500,4.58084036111,1
Seita.1G174900,2.36109472222,1
Seita.1G176800,4.22063277778,1
Seita.1G177700,33.6649891667,1
Seita.1G178400,10.7550487222,1
Seita.1G179800,2.08056541667,1
Seita.1G185100,1.64543066667,1
Seita.1G185700,1.036762325,1
Seita.1G187300,1.19190183333,1
Seita.1G192200,2.62516480556,1
Seita.1G193300,1.71151025,1
Seita.1G195600,1.52797330556,1
Seita.1G197500,2.61412055556,1
Seita.1G197600,3.42486255556,1
Seita.1G198000,66.3183166667,1
Seita.1G198700,2.57129683333,1
Seita.1G198900,1.17189375,1
Seita.1G200500,9.36107694444,1
Seita.1G201400,5.44594777778,1
Seita.1G203300,5.4946925,1
Seita.1G204000,58.597525,1
Seita.1G206000,124.148507778,1
Seita.1G208000,1.04080469444,1
Seita.1G208400,1.608091,1
Seita.1G208600,26.6135203611,1
Seita.1G208700,11.5037601667,1
Seita.1G211800,5.68099055556,1
Seita.1G211900,4.59101777778,1
Seita.1G212000,3.78578163889,1
Seita.1G214100,1.78009683333,1
Seita.1G218600,2.32695472222,1
Seita.1G219700,3.25043148889,1
Seita.1G222400,14.1205138889,1
Seita.1G223700,21.3430472222,1
Seita.1G225000,72.5957194444,1
Seita.1G225300,29.5481275,1
Seita.1G225600,1.51650177778,1
Seita.1G227200,16.6855877778,1
Seita.1G227400,6.47298916667,1
Seita.1G229400,276.142033333,1
Seita.1G232600,2.38903772222,1
Seita.1G232800,4.13603250833,1
Seita.1G233300,1.35097164167,1
Seita.1G233400,20.7629356944,1
Seita.1G234400,1.02723573611,1
Seita.1G236100,48.4716483333,1
Seita.1G236600,1.94865761111,1
Seita.1G237200,5.87456080556,1
Seita.1G239400,5.16923891667,1
Seita.1G239600,54.2665013889,1
Seita.1G240400,4.687035,1
Seita.1G240500,5.92338472222,1
Seita.1G240600,9.99834194444,1
Seita.1G240800,4.28356305556,1
Seita.1G241600,10.5255458611,1
Seita.1G242200,2.1876825,1
Seita.1G243100,2.50057916667,1
Seita.1G243300,1.95525266667,1
Seita.1G246200,9.83728113889,1
Seita.1G246700,5.93521372222,1
Seita.1G248000,2.74217327778,1
Seita.1G249500,1.18346908333,1
Seita.1G251600,5.95632833333,1
Seita.1G253600,13.9436930556,1
Seita.1G255100,31.0431416667,1
Seita.1G256300,12.7926933333,1
Seita.1G256800,19.7438391667,1
Seita.1G257300,7.54925944444,1
Seita.1G257600,1.85272652778,1
Seita.1G260800,6.66946188889,1
Seita.1G263000,1.23295106667,1
Seita.1G264100,2.24938727778,1
Seita.1G266000,10.5290311111,1
Seita.1G266100,1.65837588889,1
Seita.1G266200,1.14346633333,1
Seita.1G266300,2.97765088889,1
Seita.1G266300,2.97765088889,1
Seita.1G267100,7.06398305556,1
Seita.1G267200,42.0144416667,1
Seita.1G267400,2.86223533333,1
Seita.1G268000,48.0056286111,1
Seita.1G268200,30.3348472222,1
Seita.1G268600,19.2692916667,1
Seita.1G270000,9.30850569444,1
Seita.1G270500,1.04764530556,1
Seita.1G270800,1.69979997222,1
Seita.1G270800,1.69979997222,1
Seita.1G271500,5.55905358333,1
Seita.1G271500,5.55905358333,1
Seita.1G271800,4.86572388889,1
Seita.1G272200,1.70774513889,1
Seita.1G273100,7.37175972222,1
Seita.1G273200,2.36691797222,1
Seita.1G273500,11.3331801667,1
Seita.1G274000,2.25734811111,1
Seita.1G275400,7.64126381667,1
Seita.1G276500,2.71323219444,1
Seita.1G277300,2.3859875,1
Seita.1G277400,1.02879991667,1
Seita.1G277500,1.22750708333,1
Seita.1G288100,38.4889208333,1
Seita.1G288400,42.2645138889,1
Seita.1G288500,10.2472602778,1
Seita.1G288800,19.3360652778,1
Seita.1G289800,8.25015583333,1
Seita.1G295700,4.41558111111,1
Seita.1G296600,10.3152180556,1
Seita.1G297400,6.40931083333,1
Seita.1G298300,12.1967277778,1
Seita.1G298400,3.42981083333,1
Seita.1G299700,3.04147861111,1
Seita.1G301300,46.210845,1
Seita.1G301400,1.35513258333,1
Seita.1G302200,3.208087,1
Seita.1G305900,22.31579,1
Seita.1G309000,1.75424472222,1
Seita.1G310000,1.5401515,1
Seita.1G310600,101.573645,1
Seita.1G314500,7.66930083333,1
Seita.1G315300,1.41134672222,1
Seita.1G315500,9.07312222222,1
Seita.1G315700,1.90041444444,1
Seita.1G317300,33.4714583333,1
Seita.1G318000,10.0388366667,1
Seita.1G318200,19.0067883333,1
Seita.1G319000,3.13293113889,1
Seita.1G323500,48.5096638889,1
Seita.1G323700,2.40906430556,1
Seita.1G324600,12.1822844444,1
Seita.1G325500,1.13021197222,1
Seita.1G325700,35.642366,1
Seita.1G326100,38.0556841667,1
Seita.1G326200,45.2664694444,1
Seita.1G327100,1.71100094444,1
Seita.1G327300,12.3025448611,1
Seita.1G330800,5.53066458333,1
Seita.1G331600,4.67559444444,1
Seita.1G332100,3.90143111111,1
Seita.1G332900,4.08642638889,1
Seita.1G333600,18.8256644444,1
Seita.1G334100,6.48011972222,1
Seita.1G334700,9.51335527778,1
Seita.1G335000,1.01631397222,1
Seita.1G336400,11.9680394444,1
Seita.1G336500,111.303347222,1
Seita.1G336700,1.39318630556,1
Seita.1G336800,147.557472222,1
Seita.1G336900,14.0935236111,1
Seita.1G340100,8.79035527778,1
Seita.1G340500,1.63982425,1
Seita.1G340700,1.78731069444,1
Seita.1G343900,2.5046715,1
Seita.1G344900,6.55311722222,1
Seita.1G345400,20.9726161111,1
Seita.1G346100,1.11719252778,1
Seita.1G346800,1.72075791667,1
Seita.1G347500,2.25063830556,1
Seita.1G349000,3.65813722222,1
Seita.1G353100,4.64793055556,1
Seita.1G353200,6.15003608333,1
Seita.1G353300,51.5647369444,1
Seita.1G353600,5.578185,1
Seita.1G354700,1.85094130556,1
Seita.1G359100,3.67136416667,1
Seita.1G359600,2.29052694444,1
Seita.1G360400,6.67282055556,1
Seita.1G361700,22.0355805556,1
Seita.1G364200,21.5086736111,1
Seita.1G365200,25.6131711111,1
Seita.1G368900,4.20184222222,1
Seita.1G369500,1.73724319444,1
Seita.1G372300,3.86213305556,1
Seita.1G372800,12.5178258333,1
Seita.1G376100,14.2657025,1
Seita.2G000300,19.9330055556,1
Seita.2G002000,70.3927333333,1
Seita.2G004800,1.55180986111,1
Seita.2G004900,3.22273822222,1
Seita.2G006100,1.16633958333,1
Seita.2G006600,2.91846097222,1
Seita.2G008400,3.54374866667,1
Seita.2G013500,56.5678416667,1
Seita.2G013800,4.76710261111,1
Seita.2G020800,5.42965111111,1
Seita.2G021000,7.07484552778,1
Seita.2G021200,4.19077638889,1
Seita.2G023400,2.60821891667,1
Seita.2G024300,2.55565716667,1
Seita.2G025500,4.89385611111,1
Seita.2G025700,2.24490769444,1
Seita.2G026200,14.8284438889,1
Seita.2G029100,1.32029811111,1
Seita.2G029600,2.18311591667,1
Seita.2G029800,1.71825647222,1
Seita.2G031700,2.09120025,1
Seita.2G032200,54.0288644444,1
Seita.2G032400,4.15175611111,1
Seita.2G032600,4.04943638889,1
Seita.2G034500,6.69345333333,1
Seita.2G035000,3.15115583333,1
Seita.2G039300,6.97635672222,1
